,Title,Views,Date_time,Video_link,Thumbnail_link
133,How to avoid getting Laid Off | ft. Dr. Sneha Sharma,1.1K views,11 months ago,/watch?v=s4frRcj17AM,
134,Psychology of Deciding Your Career ft. Dhairya Gangwani | GeeksforGeeks,881 views,11 months ago,/watch?v=0oPyv39ynTo,
135,CodeCast Ep. 3 | Learn all About Competitive Programming | @PriyanshAgarwal  with Mr. Sandeep Jain,7.3K views,11 months ago,/watch?v=5uAFQqdS9oA,
136,Advice for Women in Tech | ft. @PriyaVajpeyi,1.5K views,11 months ago,/watch?v=tn5BHjwAvTc,https://i.ytimg.com/vi/tn5BHjwAvTc/hqdefault.jpg
137,Roadmap to Amazon | Twinkle Bajaj - SDE at Amazon,1.7K views,11 months ago,/watch?v=nRbR9A_8nMQ,https://i.ytimg.com/vi/nRbR9A_8nMQ/hqdefault.jpg
138,Google Cloud X AMD and GeeksforGeeks Goes to Colleges With Some Fun Twist!,1.5K views,11 months ago,/watch?v=RQuaGniMRUU,https://i.ytimg.com/vi/RQuaGniMRUU/hqdefault.jpg
139,Solving For India Hackathon | @googlecloud X AMD | GeeksforGeeks,2.5K views,11 months ago,/watch?v=p0FQuaFLh0A,https://i.ytimg.com/vi/p0FQuaFLh0A/hqdefault.jpg
140,GeeksforGeeks Job Fair 2023,25K views,11 months ago,/watch?v=xIC1IFPod9Y,https://i.ytimg.com/vi/xIC1IFPod9Y/hqdefault.jpg
141,OpenAI's ChatGPT & GPT 4 | Google's BARD AI | Will AI Replace You?,1.9K views,11 months ago,/watch?v=2RcaFQzCgys,https://i.ytimg.com/vi/2RcaFQzCgys/hqdefault.jpg
142,Get Started With Machine Learning | GeeksforGeeks,1.7K views,11 months ago,/watch?v=RSVndjS2gMM,https://i.ytimg.com/vi/RSVndjS2gMM/hqdefault.jpg
143,🎊Celebrating Bi-Wizard's First Anniversary🎊 | Join the Best Young Coders in the World,630 views,11 months ago,/watch?v=D8aEoRbwC64,https://i.ytimg.com/vi/D8aEoRbwC64/hqdefault.jpg
144,"Meet Shikar Goel, CTO of GeeksforGeeks | Know His Journey",1.8K views,11 months ago,/watch?v=d2zk6YEqGsM,https://i.ytimg.com/vi/d2zk6YEqGsM/hqdefault.jpg
145,An Opportunity for Recruiters to Hire Top Tech Talent | Jobs Fair 2023 | GeeksforGeeks,1.8K views,11 months ago,/watch?v=RbQt5dz8Dws,https://i.ytimg.com/vi/RbQt5dz8Dws/hqdefault.jpg
146,A.I. Apps That Can Change Your Lives | GeeksforGeeks,2.8K views,1 year ago,/watch?v=kApRNheEJ8Q,https://i.ytimg.com/vi/kApRNheEJ8Q/hqdefault.jpg
147,Roadmap To Master Recursion? Roadmap To Master Recursion! | GeeksforGeeks,3.4K views,1 year ago,/watch?v=51JvvwqQmlQ,https://i.ytimg.com/vi/51JvvwqQmlQ/hqdefault.jpg
148,CodeCast Ep. 2 | SDE Without A Technical Degree? | GeeksforGeeks,1.9K views,1 year ago,/watch?v=XlcpYRp0ouc,https://i.ytimg.com/vi/XlcpYRp0ouc/hqdefault.jpg
149,The Art of Becoming a Successful Coder | GeeksforGeeks,6.8K views,1 year ago,/watch?v=jO2SyGwS4bA,https://i.ytimg.com/vi/jO2SyGwS4bA/hqdefault.jpg
150,Optimal Way to Get Started with DSA | GeeksforGeeks,8.7K views,1 year ago,/watch?v=-WLD1oY2dB4,https://i.ytimg.com/vi/-WLD1oY2dB4/hqdefault.jpg
151,Mistakes to Avoid in Your Next Job Interview | GeeksforGeeks,1.5K views,1 year ago,/watch?v=1uO3E57gPpE,https://i.ytimg.com/vi/1uO3E57gPpE/hqdefault.jpg
152,Master These Coding Practices For Your Placement Preparation | GeeksforGeeks,5.5K views,1 year ago,/watch?v=v_mlqwjlv00,
153,Correct Your Mistakes in 1 minute | Data Science | GeeksforGeeks,1.3K views,1 year ago,/watch?v=vNiiuh__7u0,
154,CodeCast Ep. 1 | Journey From A Vegetable Seller To A 10LPA+ Job | GeeksforGeeks,2.5K views,1 year ago,/watch?v=ksRDXChKN70,
155,LIVE DSA Sessions By Everyone's Favorite Teacher!,4.7K views,1 year ago,/watch?v=qCioG1rwM6I,
156,GeeksforGeeks Resolution Days 2023 | Never Before Seen Offers!,7K views,1 year ago,/watch?v=mckeyuVM07g,
157,The Top 5 DSA Fails (and How to Avoid Them!),3.4K views,1 year ago,/watch?v=jMjSpFObSKM,
158,GeeksforGeeks Now On iOS,1.5K views,1 year ago,/watch?v=bMDud1_-x1U,
159,"⛄ Merry Christmas, Geeks! ⛄ | Keep Coding Keep Learning | GeeksforGeeks",1.4K views,1 year ago,/watch?v=AESq1z0Okb0,
160,Student Success Story: Placed as an SDE at Byju's with Help from GeeksforGeeks,1.6K views,1 year ago,/watch?v=yvkQMMU076M,
161,Service Based Test Series By GeeksforGeeks,1K views,1 year ago,/watch?v=84a0IXscfgE,
162,India's Biggest Technical Content Writing Event is now LIVE 🔴 Participate Now | GeeksforGeeks,853 views,1 year ago,/watch?v=J63OOZzo-p8,
